Area,Year,Domain Code,Domain,Area Code (M49),Element Code,Element,Item Code (CPC),Item,Year Code,Value,Yield_Loss_Percent,Avg_Deaths,Avg_Damage_USD,Total_Events
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01344.02,Cherries,2002,1672.2,3.5695749956749823,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01703,"Chick peas, dry",2002,387.7,11.625256439480284,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2002,1752.3,8.42435327933107,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01460,"Coconuts, in shell",2002,5566,-2.875942629010801,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01232,Cucumbers and gherkins,2002,5148.8,7.335684975883656,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01314,Dates,2002,8026.6,0.06971937949751568,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2002,15904.9,4.223121484746667,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01233,Eggplants (aubergines),2002,10723.9,-0.25053519178094313,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01315,Figs,2002,3222.7,25.822860562537414,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01657,"Ginger, raw",2002,383,-0.8691071898867556,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01330,Grapes,2002,4080,1.227394872539759,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01252,Green garlic,2002,8133.8,-0.9181369264746023,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,0142,"Groundnuts, excluding shelled",2002,1043.9,-2.634942483531616,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01449.02,Hempseed,2002,679.1,0.8178764422374795,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01922.01,"Jute, raw or retted",2002,1074.1,-2.2952380952380866,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01922.02,"Kenaf, and other textile bast fibres, raw or retted",2002,708.3,-3.4467650065722077,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01322,Lemons and limes,2002,9315.1,0.4690672080350426,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01704,"Lentils, dry",2002,584.8,-0,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01214,Lettuce and chicory,2002,1087,8.655462184873949,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01441,Linseed,2002,491,14.3255976269412,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,0112,Maize (corn),2002,1844.8,-4.633883500652263,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01316,"Mangoes, guavas and mangosteens",2002,10479.7,-2.6968494291734113,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,0118,Millet,2002,541.7,-4.41403238242099,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01239.01,Okra,2002,7668.9,1.7210887840885813,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01253.02,"Onions and shallots, dry (excluding dehydrated)",2002,13348.4,9.792870417300222,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01241.90,"Other beans, green",2002,7486.8,13.797192893576357,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01355.90,Other berries and fruits of the genus vaccinium n.e.c.,2002,5095.6,-2.5808269919877747,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01359.90,"Other fruits, n.e.c.",2002,5876.5,3.692353076141469,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2002,787.1,-0.16543649783660835,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01449.90,"Other oil seeds, n.e.c.",2002,778.5,-0.03855050115650919,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01709.90,Other pulses n.e.c.,2002,854.3,-0.046843892727482996,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01699,"Other stimulant, spice and aromatic crops, n.e.c.",2002,4671.5,-7.097824342603003,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01290.90,"Other vegetables, fresh n.e.c.",2002,14565.6,0.7035340314136052,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01317,Papayas,2002,4515.3,-0.36899548758531053,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01345,Peaches and nectarines,2002,8306.1,-27.25559590017006,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01342.01,Pears,2002,12793,-2.129120330823952,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01705,"Peas, dry",2002,588.4,1.258600436314818,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01242,"Peas, green",2002,7150.6,-4.292402607820548,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01707,"Pigeon peas, dry",2002,750.4,-2.555692223588893,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01375,"Pistachios, in shell",2002,1444.4,1.2511109591850655,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01346,Plums and sloes,2002,8799.1,-1.2659538962608323,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01510,Potatoes,2002,16448.6,-0.18638080155925535,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01235,"Pumpkins, squash and gourds",2002,9924.3,2.1204619648299192,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01443,Rape or colza seed,2002,822.6,2.93805309734513,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,0113,Rice,2002,3019.2,-9.62166872413042,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01446,Safflower seed,2002,770.5,-5.245185084004914,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01921.01,"Seed cotton, unginned",2002,1865.1,-7.306829296358093,14,NA,1
Pakistan,2002,QCL,Crops and livestock products,586,5412,Yield,01444,Sesame seed,2002,219.3,57.27644652250146,14,NA,1
